Frase,Categoria_Atribuida,Score_Similaridade
Assume that most people will lie to get what they want.,Agreeableness-,0.3489890
Attract attention from the opposite sex.,Agreeableness-,0.46087100
Avoid appearing superior to others.,Agreeableness-,0.52554000
Avoid being a bother to anyone.,Agreeableness-,0.4809950
Avoid imposing my will on others.,Agreeableness-,0.5202400
Avoid interfering in the lives of others.,Agreeableness-,0.4734110
Become frustrated and angry with people when they don't live up to my expectations.,Agreeableness-,0.42738000
Behave as if others are just as important as me.,Agreeableness-,0.4669880
Believe strongly that the world would be a much better place if I had my way.,Agreeableness-,0.26624400
Believe that cheating is wrong because it is unfair to others.,Agreeableness-,0.39886100
Believe that good will always beat evil.,Agreeableness-,0.3146790
Believe that human nature is essentially bad.,Agreeableness-,0.4349680
Believe that I am better than others.,Agreeableness-,0.33886700
Believe that it's a dog-eat-dog world.,Agreeableness-,0.2785700
Believe that it's best not to let other people get to know you too well.,Agreeableness-,0.4261160
Believe that kids need tough love.,Agreeableness-,0.3690890
Believe that most people dislike helping other people.,Agreeableness-,0.47980200
Believe that most people would betray me if I let them.,Agreeableness-,0.34023100
Believe that most people would lie to get ahead.,Agreeableness-,0.34760800
Believe that my friends will eventually drop me in favor of smarter and more interesting friends.,Agreeableness-,0.37154000
Believe that no one deserves to be discriminated against because of the color of their skin.,Agreeableness-,0.34678500
Believe that one race of people is better than others.,Agreeableness-,0.3393460
Believe that parents coddle their children too much.,Agreeableness-,0.39350200
Believe that people are either good or bad.,Agreeableness-,0.43425200
Believe that people are essentially evil.,Agreeableness-,0.38269000
Believe that people often are trying to take advantage of me.,Agreeableness-,0.41415900
Believe that people should fend for themselves.,Agreeableness-,0.41189700
Believe that some orders are meant to be ignored.,Agreeableness-,0.5115250
Believe that the only person you can truly trust is yourself.,Agreeableness-,0.33266200
Believe that the world is controlled by a few powerful people.,Agreeableness-,0.33318700
"Believe that there are no ""honest"" mistakes - there is always an ulterior motive.",Agreeableness-,0.46916700
Believe that there is never an excuse for lying.,Agreeableness-,0.3233350
Believe that there is no absolute right and wrong.,Agreeableness-,0.40400900
"Believe that, sooner or later, people always let you down.",Agreeableness-,0.34983300
Believe the world would be better off without me.,Agreeableness-,0.30382600
Break my promises.,Agreeableness-,0.33508400
Can be very cruel to people.,Agreeableness-,0.5299020
Can be vicious.,Agreeableness-,0.53937300
Can become tearful thinking of the goodness of others.,Agreeableness-,0.5441850
Cannot hold back my tongue when criticized.,Agreeableness-,0.4229790
Cannot imagine lying or cheating.,Agreeableness-,0.34147300
Can't be bothered with other's needs.,Agreeableness-,0.38123
Can't do without the company of others.,Agreeableness-,0.4526820
Can't say no.,Agreeableness-,0.4037310
Can't stand aggressive people.,Agreeableness-,0.4669880
Can't stand being contradicted.,Agreeableness-,0.43470800
Can't stand confrontations.,Agreeableness-,0.40894600
Can't stand impolite people.,Agreeableness-,0.4971960
Can't stand nosey people.,Agreeableness-,0.46387100
Can't stand pushy people.,Agreeableness-,0.49160600
Can't stand quarrels.,Agreeableness-,0.4342870
Can't stand rude people.,Agreeableness-,0.48559100
Can't stand weak people.,Agreeableness-,0.47000700
"Can't swallow, or only with a great effort.",Agreeableness-,0.3906300
Challenge others' points of view.,Agreeableness-,0.46393000
Cheat on people who have trusted me.,Agreeableness-,0.31148000
Collect things that no one else wants.,Agreeableness-,0.43249900
Consider my motives before acting.,Agreeableness-,0.42479300
Contradict others.,Agreeableness-,0.52181700
Could never imagine hurting another person.,Agreeableness-,0.18940600
Counter others' arguments.,Agreeableness-,0.48619800
Create problems for others.,Agreeableness-,0.49940100
Criticize others' shortcomings.,Agreeableness-,0.48767400
Cut others to pieces.,Agreeableness-,0.27327700
Deceive people.,Agreeableness-,0.42500000
Defend my own beliefs.,Agreeableness-,0.3473170
Demand a lot from others.,Agreeableness-,0.44471800
Demand obedience.,Agreeableness-,0.38400000
Demand perfection in others.,Agreeableness-,0.44185100
Demand the impossible of others.,Agreeableness-,0.5236330
Deny others their turn.,Agreeableness-,0.5190040
Deserve more than I am getting.,Agreeableness-,0.47514400
Detest working.,Agreeableness-,0.35536700
Disapprove of gift giving because it encourages weakness.,Agreeableness-,0.45755000
Dislike being complimented.,Agreeableness-,0.52436400
Dislike being the center of attention.,Agreeableness-,0.4916670
Dislike changes.,Agreeableness-,0.5077940
Dislike children's birthday parties.,Agreeableness-,0.31089500
Dislike competing with others.,Agreeableness-,0.49194800
Dislike having authority over others.,Agreeableness-,0.45255000
Dislike imperfect work.,Agreeableness-,0.56300000
Dislike incompetence.,Agreeableness-,0.5295020
Dislike learning.,Agreeableness-,0.39781000
Dislike movies with happy Hollywood endings.,Agreeableness-,0.32320100
Dislike myself.,Agreeableness-,0.48693800
Dislike neighbors living too close.,Agreeableness-,0.45337700
Dislike neon signs and florescent colors.,Agreeableness-,0.38625700
Dislike new foods.,Agreeableness-,0.3199230
Dislike routine.,Agreeableness-,0.4888970
Dislike smells that I usually like.,Agreeableness-,0.35458800
Dislike taking responsibility for making decisions.,Agreeableness-,0.39699900
Dislike tastes that I usually like.,Agreeableness-,0.36260800
Dislike the unknown.,Agreeableness-,0.497073
Dislike work.,Agreeableness-,0.39451400
Dislike works of fiction.,Agreeableness-,0.3466300
Disregard rules.,Agreeableness-,0.5189310
Disregard the opinions of others.,Agreeableness-,0.48965800
Distrust people.,Agreeableness-,0.60404
Distrust the medical profession to handle my health.,Agreeableness-,0.3311840
Do not believe humans are truly capable of love.,Agreeableness-,0.41801200
Do not care how my actions affect others.,Agreeableness-,0.28811200
Do not give anyone a second chance to hurt me.,Agreeableness-,0.354518
Do not give up easily.,Agreeableness-,0.4534490
Do not go out of my way to make others smile or laugh.,Agreeableness-,0.46271000
Do not like reading or hearing opinions that go against my way of thinking.,Agreeableness-,0.42703200
Do not make polite excuses.,Agreeableness-,0.56379200
"Do not quit easily, even when things are hard.",Agreeableness-,0.3737580
Do not see the need to acknowledge others who are good to me.,Agreeableness-,0.45679000
Do not stand up for my beliefs.,Agreeableness-,0.4204490
Do not take news at face value.,Agreeableness-,0.4209210
Do not tend to stick with what I decide to do.,Agreeableness-,0.37504400
Do not trust the integrity of the police.,Agreeableness-,0.36168200
Do the opposite of what I'm told to do.,Agreeableness-,0.43268200
Do the opposite of what is asked.,Agreeableness-,0.52671800
Do things behind other people's backs.,Agreeableness-,0.41608000
Do things for no apparent reason.,Agreeableness-,0.43964000
Do things out of revenge.,Agreeableness-,0.4588190
Do things that others find strange.,Agreeableness-,0.48963800
Do unpleasant tasks immediately.,Agreeableness-,0.35480000
Don't analyze the reasons for my actions.,Agreeableness-,0.38391700
Don't approach things halfheartedly.,Agreeableness-,0.5497710
Don't attempt to conform to society's expectations.,Agreeableness-,0.488537
Don't call people just to talk.,Agreeableness-,0.3732710
Don't care about dressing nicely.,Agreeableness-,0.36086400
Don't care if I offend others with bad manners.,Agreeableness-,0.3286480
Don't care much about how society tells me to behave.,Agreeableness-,0.26691200
Don't care what others think.,Agreeableness-,0.2621510
Don't care what people think of me.,Agreeableness-,0.17993600
Don't care whether I'm considered special.,Agreeableness-,0.24757800
Don't desire things that others have.,Agreeableness-,0.53107600
Don't enjoy being the object of jokes.,Agreeableness-,0.45673400
Don't fall for sob-stories.,Agreeableness-,0.44673300
Don't have a soft side.,Agreeableness-,0.5248830
Don't hesitate to express an unpopular opinion.,Agreeableness-,0.49243100
Don't learn from my experiences.,Agreeableness-,0.37849000
Don't let others cut in front of me in line.,Agreeableness-,0.4172240
Don't let others discourage me.,Agreeableness-,0.45682300
Don't let others take credit for my work.,Agreeableness-,0.3881440
Don't like being away from civilization.,Agreeableness-,0.40273500
Don't like being laughed at.,Agreeableness-,0.4370490
Don't like running errands for others.,Agreeableness-,0.39971800
Don't like seeing people dressed carelessly.,Agreeableness-,0.46035200
Don't like the idea of change.,Agreeableness-,0.37722100
Don't like to get involved in other people's problems.,Agreeableness-,0.41562700
"Don't like to share, even when others desperately need what I have.",Agreeableness-,0.38393200
Don't like to spend money.,Agreeableness-,0.35241400
Don't mind others making fun of me.,Agreeableness-,0.3131750
Don't pay much attention to the material objects other people own.,Agreeableness-,0.34833400
Don't pride myself on being original.,Agreeableness-,0.4358910
Don't see things through.,Agreeableness-,0.5094120
Don't soften the truth.,Agreeableness-,0.47732800
Don't speak my mind freely when there might be negative results.,Agreeableness-,0.48907000
Don't take orders well.,Agreeableness-,0.52302300
Don't talk badly to outsiders about my own group.,Agreeableness-,0.4475930
Don't think about different possibilities when making decisions.,Agreeableness-,0.32471900
Don't think I should have to wait in lines like others.,Agreeableness-,0.32847600
Don't think it's important to socialize with others.,Agreeableness-,0.36640900
Don't think that I'm better than other people.,Agreeableness-,0.39521600
Don't tolerate critics.,Agreeableness-,0.49578800
Don't try to get even.,Agreeableness-,0.44285700
Don't waste time with others' troubles.,Agreeableness-,0.48531100
"Doubt people who claim to be ""healers.""",Agreeableness-,0.3818120
Doubt the motives of others when I am complimented.,Agreeableness-,0.48175400
Embarrass others.,Agreeableness-,0.53204800
Expect people not to like me.,Agreeableness-,0.4476330
Expect the worst.,Agreeableness-,0.3774870
Express disapproval.,Agreeableness-,0.54115700
Fail to notice beauty until other comment on it.,Agreeableness-,0.44152200
Feel disgusted by anything relating to sex.,Agreeableness-,0.26316300
Feel like a loser if I compromise.,Agreeableness-,0.42384400
Feel no gratitude to others.,Agreeableness-,0.44189200
Feel offended by forms of discrimination.,Agreeableness-,0.47250800
Feel resentful when I don't get my own way.,Agreeableness-,0.4866780
Feel sympathy for those who are worse off thanmyself.,Agreeableness-,0.4596580
Feel that friendly people are actually trying to manipulate me.,Agreeableness-,0.46588600
Feel that I do not deserve to be alive.,Agreeableness-,0.36141400
Feel that it's OK that some people don't like me.,Agreeableness-,0.33479800
Feel that most bad things that happen have a hidden gift in them.,Agreeableness-,0.42224900
Feel that most people can't be trusted.,Agreeableness-,0.4346420
Feel that no one tells the truth anymore.,Agreeableness-,0.3565650
Feel that others misunderstand me.,Agreeableness-,0.4455570
Feel that people are against me.,Agreeableness-,0.44038300
Feel that very few merchants take advantage of their customers.,Agreeableness-,0.36534900
Felt that people disliked me.,Agreeableness-,0.38026200
Find it difficult to approach others.,Agreeableness-,0.5151220
Find it difficult to compromise in policy debates.,Agreeableness-,0.3928810
Find it difficult to consider as valid opinions that differ from my own.,Agreeableness-,0.46812500
Find it difficult to manipulate others.,Agreeableness-,0.55735400
Find it difficult to telephone someone I do not know.,Agreeableness-,0.36184900
Find it hard to forgive others.,Agreeableness-,0.5050040
Find it hard to tell if people are lying.,Agreeableness-,0.40928100
Find others' opinions unimportant.,Agreeableness-,0.4218910
Forgo things for the sake of others.,Agreeableness-,0.5089380
Frequently question the intentions of others.,Agreeableness-,0.53354200
Generally doubt the integrity of others.,Agreeableness-,0.4536490
Generally focus on the negative side of things.,Agreeableness-,0.44219200
Get annoyed at the slightest provocation.,Agreeableness-,0.50091300
Get annoyed by people who are overly friendly.,Agreeableness-,0.5302020
Get annoyed when poor weather interferes with my plans for an outdoor activity.,Agreeableness-,0.38372800
Get annoyed with others' behaviors.,Agreeableness-,0.52747300
Get back at others.,Agreeableness-,0.484816
Get back at people who insult me.,Agreeableness-,0.40742700
Get even with others.,Agreeableness-,0.49727300
Get suspicious when someone treats me nicely.,Agreeableness-,0.47482600
Give in to no one.,Agreeableness-,0.45359900
Give unsolicited advice.,Agreeableness-,0.5267280
Grumble about things.,Agreeableness-,0.5262
Hate being the center of attention.,Agreeableness-,0.49515400
Hate parting with old things.,Agreeableness-,0.39982200
Hate standing in lines.,Agreeableness-,0.44349700
Hate surprises.,Agreeableness-,0.44412300
Hate to hear about the successes of others.,Agreeableness-,0.3673680
"Hate to see anyone suffer, even my worst enemy.",Agreeableness-,0.3842130
Hate to seem pushy.,Agreeableness-,0.5563530
Hate to wait for my turn in line or in a game.,Agreeableness-,0.33197500
Have a negative view of the future.,Agreeableness-,0.47891500
Have a negative view of the world.,Agreeableness-,0.5240770
Have a reputation for asking inappropriate questions.,Agreeableness-,0.5062810
Have always been suspicious of other people.,Agreeableness-,0.3532550
Have bad luck.,Agreeableness-,0.4837950
Have bad manners.,Agreeableness-,0.5166220
Have banged my head against the wall on purpose.,Agreeableness-,0.30315300
Have been physically cruel to animals or even other people.,Agreeableness-,0.3927960
Have been told that I have horrible table manners.,Agreeableness-,0.36688300
Have been told that my stories don't make sense.,Agreeableness-,0.30392800
Have difficulty accepting love from anyone.,Agreeableness-,0.39068400
Have difficulty getting others to work together.,Agreeableness-,0.45309000
Have done things to myself that others might find brutal.,Agreeableness-,0.40776800
Have exploited others for my own gain.,Agreeableness-,0.38780400
Have friends who belong to very different groups of people.,Agreeableness-,0.3977300
Have friends who have very different beliefs from mine.,Agreeableness-,0.3851740
Have had conflicts with the police.,Agreeableness-,0.2797090
Have learned that it's dangerous to believe what people say.,Agreeableness-,0.40853400
Have little left to live for.,Agreeableness-,0.41636100
Have little patience for slackers.,Agreeableness-,0.50130000
Have little respect for my superiors.,Agreeableness-,0.3711230
Have little respect for the police.,Agreeableness-,0.35566800
Have little sympathy for the unemployed.,Agreeableness-,0.38160600
Have never had a loyal friend.,Agreeableness-,0.20675900
Have no need for close friendships.,Agreeableness-,0.31263400
Have no opinions of my own.,Agreeableness-,0.36757400
Have no sympathy for criminals.,Agreeableness-,0.42262300
Have no sympathy for rule-breakers.,Agreeableness-,0.42833600
Have noticed that my friends have often betrayed me.,Agreeableness-,0.35981100
Have occasionally disliked someone.,Agreeableness-,0.5600260
Have often been punished without a good reason.,Agreeableness-,0.3783900
Have physically threatened someone to get what I want.,Agreeableness-,0.35243800
Have spread gossip as a way to get back at someone.,Agreeableness-,0.4131730
Have trouble guessing how others will react.,Agreeableness-,0.48087300
Have trouble resisting the temptation of doing forbidden things.,Agreeableness-,0.4621050
Have vandalized other people's property.,Agreeableness-,0.2938560
Have very high standards for the behavior of others.,Agreeableness-,0.30896400
Hold a grudge.,Agreeableness-,0.5005330
Hold grudges.,Agreeableness-,0.50940500
Hurt people.,Agreeableness-,0.4568130
Ignore others' expectations.,Agreeableness-,0.50873900
Impose my will on others.,Agreeableness-,0.4909640
Insist that others do things my way.,Agreeableness-,0.4447690
Insult people.,Agreeableness-,0.56097300
Interfere in other people's business.,Agreeableness-,0.42995100
Judge myself more harshly than others do.,Agreeableness-,0.43226900
Know people whose opinions are simply not worth listening to.,Agreeableness-,0.46117200
Know that I am not a special person.,Agreeableness-,0.377204
Know that I wouldn't be any happier if I owned nicer things,Agreeableness-,0.34565800
Lash out at others when something is bothering me.,Agreeableness-,0.48200200
Let myself be directed by others.,Agreeableness-,0.425004
Let others down.,Agreeableness-,0.50533300
Let others take advantage of me.,Agreeableness-,0.4058760
Let people pull my leg.,Agreeableness-,0.36364400
"Lie, cheat, and steal.",Agreeableness-,0.3359870
Like hearing views that differ from my own.,Agreeableness-,0.4176350
Live in a state of poverty.,Agreeableness-,0.30356300
Look down on others.,Agreeableness-,0.52318200
Lose respect for leaders if I disagree with them.,Agreeableness-,0.3584260
Love my enemies.,Agreeableness-,0.4465010
Love to come up with objections.,Agreeableness-,0.4657840
Make a point of trying not to hurt others in pursuit of my goals.,Agreeableness-,0.49946200
Make demands on others.,Agreeableness-,0.53994500
Make enemies.,Agreeableness-,0.52856600
Make fun of others behind their backs.,Agreeableness-,0.4077130
Make mistakes on purpose when I resent having to do something.,Agreeableness-,0.45823200
Make people pay for crossing me.,Agreeableness-,0.22891000
May hit somebody if they openly disagree with me.,Agreeableness-,0.44240600
Mediate in quarrels.,Agreeableness-,0.4508730
Nag others.,Agreeableness-,0.5377350
Need to understand my motives.,Agreeableness-,0.38122100
Neglect to thank others for their help.,Agreeableness-,0.46721600
Never seek vengeance.,Agreeableness-,0.39631400
Never want to be thought of as average.,Agreeableness-,0.3958370
Notice contradictions.,Agreeableness-,0.515202
Obstruct others' plans.,Agreeableness-,0.47396000
Offend no one.,Agreeableness-,0.45387500
Often am trying to get back at people.,Agreeableness-,0.4169760
"Often identify with ""the villain"" in movies.",Agreeableness-,0.25807300
Often suspect that others are trying to exploit me.,Agreeableness-,0.42374600
Only pretend to have the best interests of others at heart.,Agreeableness-,0.53026600
Oppose authority.,Agreeableness-,0.4660300
Pay no attention to my own needs.,Agreeableness-,0.33997200
Physically intimidate people to get what I want.,Agreeableness-,0.38426500
Quarrel often with others.,Agreeableness-,0.48245700
Question others' assumptions.,Agreeableness-,0.49174800
Rarely enjoy behaving in a silly manner.,Agreeableness-,0.44909600
React strongly to criticism.,Agreeableness-,0.40203400
React with disbelief.,Agreeableness-,0.5320030
Rebel against authority.,Agreeableness-,0.4490620
Refuse help.,Agreeableness-,0.45501500
Refuse to be sidetracked.,Agreeableness-,0.5048260
Refuse to be taken advantage of by others.,Agreeableness-,0.53038500
Refuse to be talked into things.,Agreeableness-,0.41546900
Refuse to take credit for work I have not done.,Agreeableness-,0.30008600
Resent being punished.,Agreeableness-,0.4877960
Resist authority.,Agreeableness-,0.45054700
Resist society's rules.,Agreeableness-,0.47084800
Ridicule people.,Agreeableness-,0.48472900
Say I'm sorry when someone bumps into me in a crowd.,Agreeableness-,0.37822000
Say inappropriate things.,Agreeableness-,0.55272800
Say what I think and feel even if I know other people will disagree.,Agreeableness-,0.38052500
Scheme against others.,Agreeableness-,0.53558100
See other people as my competitors.,Agreeableness-,0.44563500
See that nobody gets left out.,Agreeableness-,0.4217830
Seek conflict.,Agreeableness-,0.47125000
Seek to influence others.,Agreeableness-,0.43710800
Seem to derive less enjoyment from interacting with people than others do.,Agreeableness-,0.40145200
Shift back and forth between strong love and strong hate.,Agreeableness-,0.48895400
Show disgust.,Agreeableness-,0.47647400
Sometimes lack remorse for treating people badly.,Agreeableness-,0.55970600
Speak ill of others.,Agreeableness-,0.5459080
Speak up in protest when I hear someone say mean things.,Agreeableness-,0.4642540
Suspect hidden motives in others.,Agreeableness-,0.51208700
Take advantage of others.,Agreeableness-,0.4782620
Take no time for others.,Agreeableness-,0.45327700
Take offense easily.,Agreeableness-,0.37150200
Take orders from anybody.,Agreeableness-,0.29221400
Take unfair advantage of others.,Agreeableness-,0.49238200
Talk about others to stir up conflict.,Agreeableness-,0.429183
Tend to dislike impulsive people.,Agreeableness-,0.5412390
Tend to dislike secretive people.,Agreeableness-,0.4919090
Tend to dislike shallow people.,Agreeableness-,0.509727
Tend to dislike soft-hearted people.,Agreeableness-,0.5463230
Tend to give others a hard time.,Agreeableness-,0.5875930
Tend to talk sarcastically.,Agreeableness-,0.47521600
Think a lot before complaining in a restaurant if my meal is not well-prepared.,Agreeableness-,0.33299700
Think most other people are better than me.,Agreeableness-,0.3382020
Think that everyone should be responsible for their own behaviors.,Agreeableness-,0.32642900
Think that people who are stupid enough to get ripped off usually deserve it.,Agreeableness-,0.3414230
Torture animals.,Agreeableness-,0.25662400
Treat others badly.,Agreeableness-,0.53224500
Treat others differently if I don't like them.,Agreeableness-,0.4790980
Treat people as inferiors.,Agreeableness-,0.4118240
Treated my parents badly.,Agreeableness-,0.28948300
Try not to deceive others.,Agreeableness-,0.5593320
Try not to do favors for others.,Agreeableness-,0.5997370
Try not to think about the needy.,Agreeableness-,0.5884300
Try to cheat others.,Agreeableness-,0.4304140
Try to fit in with others.,Agreeableness-,0.40564000
Try to fool others.,Agreeableness-,0.46344700
Try to forgive and forget.,Agreeableness-,0.46692600
Try to get rid of my prejudices.,Agreeableness-,0.49772300
Try to prevent quarrels.,Agreeableness-,0.5178780
Try to provoke others just to get a response.,Agreeableness-,0.51130500
Try to respond with understanding when someone treats me badly.,Agreeableness-,0.50818100
Try to stay inside when the weather is bad.,Agreeableness-,0.2921790
Turn my back on others.,Agreeableness-,0.47665200
Turn people against each other.,Agreeableness-,0.5009200
Understand people who think differently.,Agreeableness-,0.46802900
Urge others to behave themselves.,Agreeableness-,0.51842500
Usually believe that my friends will abandon me.,Agreeableness-,0.33739400
"Usually demand that I do better the next time, even when I have done something very well.",Agreeableness-,0.3254480
Want to know the reasons why.,Agreeableness-,0.2690230
Was approached by someone I didn't know who called me by another name or who insisted that he or she had met me before.,Agreeableness-,0.22459200
Will do almost anything to avoid being rejected.,Agreeableness-,0.37439700
Will do anything to get my way.,Agreeableness-,0.22967800
Will push people around to get what I want.,Agreeableness-,0.34704600
Will spread false rumors as a way to hurt others.,Agreeableness-,0.38138900
Will try to get even when someone hurts me.,Agreeableness-,0.33407500
Will upset people if I think that it is the right thing to do.,Agreeableness-,0.4066520
Wish that something bad will happen to someone I dislike.,Agreeableness-,0.48592800
Wonder if the people I know can really be trusted.,Agreeableness-,0.29630000
Won't be satisfied until I get all I deserve.,Agreeableness-,0.33600100
Won't leave people alone.,Agreeableness-,0.38631200
Won't let others dominate me.,Agreeableness-,0.4339340
Won't take the blame for something that's not my fault.,Agreeableness-,0.36243200
Work harder after a failure.,Agreeableness-,0.34508700
Worry that certain people will take unfair advantage of me.,Agreeableness-,0.46858000
Would be upset if I saw an injured animal.,Agreeableness-,0.31397400
Would be upset if my success came at someone else's expense.,Agreeableness-,0.34836200
Would feel uncomfortable trying to take advantage of others.,Agreeableness-,0.53287900
Would feel very badly for a long time if I were to steal from someone.,Agreeableness-,0.28861100
Would find it difficult to ask for a salary increase.,Agreeableness-,0.27050800
Would find it distressing to see someone sleeping on the streets.,Agreeableness-,0.29011600
Would hate to be considered odd or strange.,Agreeableness-,0.46576000
Would never accept welfare.,Agreeableness-,0.16730600
Would never be described as arrogant.,Agreeableness-,0.32543900
Would never take things that aren't mine.,Agreeableness-,0.23654300
Would not enjoy being a famous celebrity.,Agreeableness-,0.32824100
Would not feel guilty about hurting the feelings of someone I disliked.,Agreeableness-,0.39081100
Would not regret my behavior if I were to take advantage of someone impulsively.,Agreeableness-,0.31665300
Would rather help myself than others.,Agreeableness-,0.36539600
Yell at others with little provocation.,Agreeableness-,0.4111020
Accept people as they are.,Agreeableness+,0.45056400
Accept the consequences of my actions.,Agreeableness+,0.39506600
Accept the first thing that comes along.,Agreeableness+,0.442512
Accept what others say.,Agreeableness+,0.53484600
Acknowledge others' accomplishments.,Agreeableness+,0.50122900
Act according to my conscience.,Agreeableness+,0.42167600
Act comfortably with others.,Agreeableness+,0.5486420
"Admire people who own expensive homes, cars, or clothes.",Agreeableness+,0.2695160
Agree to anything.,Agreeableness+,0.48195700
Allow others to make a fresh start.,Agreeableness+,0.42231900
Always admit it when I make a mistake.,Agreeableness+,0.28615200
Am a generally obedient person.,Agreeableness+,0.43755300
Ama good judge of character.,Agreeableness+,0.48817200
Am a good listener.,Agreeableness+,0.49629800
Am a law-abiding citizen.,Agreeableness+,0.34692900
"Am a ""people person.""",Agreeableness+,0.35383700
Am a very reliable person.,Agreeableness+,0.3722000
Am able to cooperate with others.,Agreeableness+,0.5518840
Am able to do most things well enough.,Agreeableness+,0.32005200
Am able to fit into any situation.,Agreeableness+,0.26190600
Am able to get other people to act in a certain way.,Agreeableness+,0.38946000
Am able to read the minds of others.,Agreeableness+,0.38340000
Am able to see the best in a situation.,Agreeableness+,0.46774500
Am able to understand how other people see problems.,Agreeableness+,0.3969170
Am always joking.,Agreeableness+,0.31008900
Am an extremely grateful person.,Agreeableness+,0.5333660
Am an extremely loyal person.,Agreeableness+,0.3309290
Am an honest person.,Agreeableness+,0.45270900
Am asked for advice by friends and family.,Agreeableness+,0.34826600
Am asked for favors by my friends and family.,Agreeableness+,0.4974860
Am basically a decent person.,Agreeableness+,0.422551
Am committed to principles of justice and equality.,Agreeableness+,0.33445500
"Am considered a ""yes"" person.",Agreeableness+,0.50652500
Am considered attractive by others.,Agreeableness+,0.3702820
Am considered fun to be with.,Agreeableness+,0.40655900
Am considered to be a wise person.,Agreeableness+,0.44884800
Am considered well-off financially.,Agreeableness+,0.3165890
Am content with my life.,Agreeableness+,0.2934510
"Am described by others as a good ""team-player.""",Agreeableness+,0.36835100
Am easily calmed down by others.,Agreeableness+,0.32703100
Am easily impressed.,Agreeableness+,0.34332100
Am easy to persuade.,Agreeableness+,0.3558550
Am easy to satisfy.,Agreeableness+,0.37382800
Am entitled to the best.,Agreeableness+,0.38650300
Am faithful to old friends.,Agreeableness+,0.37914000
Am good at getting people to do what I want.,Agreeableness+,0.31424800
Am good at helping people work well together.,Agreeableness+,0.46058000
Am good at making excuses for my bad behavior.,Agreeableness+,0.2565140
Am good at making jokes.,Agreeableness+,0.32564100
Am good at making people laugh.,Agreeableness+,0.33373700
Am good at many things.,Agreeableness+,0.33941900
Am good at reading people's intentions from their faces.,Agreeableness+,0.39356700
Am good at sensing what others are feeling.,Agreeableness+,0.44624700
Am good at taking advice.,Agreeableness+,0.42242000
Am good at understanding others' feelings.,Agreeableness+,0.48640300
Am happy with my life.,Agreeableness+,0.28604700
Am humble about the good things that have happened to me.,Agreeableness+,0.4336500
Am in awe of simple things in life that others might take for granted.,Agreeableness+,0.34267000
Am in good physical condition.,Agreeableness+,0.29980600
Am inclined to forgive others.,Agreeableness+,0.5500880
Am interested in people.,Agreeableness+,0.40094800
Am looking forward to things that are coming in the future.,Agreeableness+,0.35608500
Am motivated strongly to do some things by the good prospect of obtaining money.,Agreeableness+,0.30765100
Am never too busy to help a friend.,Agreeableness+,0.32800300
Am nice to store clerks.,Agreeableness+,0.3985030
Am not afraid of providing criticism.,Agreeableness+,0.3757800
Am not picky about food.,Agreeableness+,0.28118000
